,name,link,company,salary_min,salary_max,currency,source
0,Преподаватель по курсу (Python для машинного обучения),https://russia.superjob.ru/vakansii/prepodavatel-po-kursu-32448389.html,ДПО Центр «Профессионал»,NaN,NaN,NaN,superjob.ru
1,Senior Python Developer,https://russia.superjob.ru/vakansii/senior-python-developer-33807534.html,Art2Hires,140000,160000,000,superjob.ru
2,Инженер сети передачи данных,https://russia.superjob.ru/vakansii/inzhener-seti-peredachi-dannyh-33838909.html,Группа Управляющих компаний,NaN,NaN,NaN,superjob.ru
3,Специалист операционного планирования и аналитики продаж,https://russia.superjob.ru/vakansii/specialist-operacionnogo-planirovaniya-i-analitiki-prodazh-33479327.html,Тинькофф Банк,NaN,NaN,NaN,superjob.ru
4,Старший программист,https://russia.superjob.ru/vakansii/starshij-programmist-33801514.html,Снежная Королева,NaN,180000,руб.,superjob.ru
5,Специалист по информационной безопасности,https://russia.superjob.ru/vakansii/specialist-po-informacionnoj-bezopasnosti-33577807.html,"""Концерн ""Калашников""",NaN,NaN,NaN,superjob.ru
6,Генетик-аналитик данных / Data scientist,https://russia.superjob.ru/vakansii/genetik-analitik-dannyh-33864238.html,ФГБУ Центр стратегического планирования медико-биологических рисков ФМБА РФ,NaN,NaN,NaN,superjob.ru
7,Инженер-программист,https://russia.superjob.ru/vakansii/inzhener-programmist-33092773.html,ВНИИФТРИ,40000,NaN,руб.,superjob.ru
8,Учитель робототехники,https://russia.superjob.ru/vakansii/uchitel-robototehniki-33835076.html,ГБОУ Школа № 1561,NaN,NaN,NaN,superjob.ru
9,Ведущий разработчик (back-end),https://russia.superjob.ru/vakansii/veduschij-razrabotchik-33809980.html,РОСГОССТРАХ Банк,NaN,NaN,NaN,superjob.ru
10,Главный инженер в департамент базовых платформенных компонентов,https://russia.superjob.ru/vakansii/glavnyj-inzhener-v-departament-bazovyh-platformennyh-komponentov-33537864.html,Сбербанк России,NaN,NaN,NaN,superjob.ru
11,Инженер в области машинного обучения,https://russia.superjob.ru/vakansii/inzhener-v-oblasti-mashinnogo-obucheniya-33556440.html,"Федеральное государственное научное учреждение ""Центр информационных технологий и систем органов исполнительной власти""",NaN,NaN,NaN,superjob.ru
12,Web-программист / Web-разработчик,https://russia.superjob.ru/vakansii/web-programmist-33861531.html,"ГОБУ ""Центр информационных технологий Мурманской области""",47000,47000,руб.,superjob.ru
13,Релиз-инженер,https://russia.superjob.ru/vakansii/reliz-inzhener-32902390.html,Э-Студио,30000,NaN,руб.,superjob.ru
14,Rust Developer,https://russia.superjob.ru/vakansii/rust-developer-33742484.html,TR Logic LLC,160000,164000,000,superjob.ru
15,Data-инженер,https://russia.superjob.ru/vakansii/data-inzhener-33782073.html,Триумф,NaN,NaN,NaN,superjob.ru
16,VoIP разработчик,https://russia.superjob.ru/vakansii/voip-razrabotchik-33844497.html,Смартер,NaN,120000,руб.,superjob.ru
17,Инженер-программист,https://russia.superjob.ru/vakansii/inzhener-programmist-33849136.html,Академия цифровых технологий,24000,NaN,руб.,superjob.ru
18,Программист C++,https://russia.superjob.ru/vakansii/programmist-c-33859971.html,АргусСофт,NaN,NaN,NaN,superjob.ru
19,Системный администратор,https://russia.superjob.ru/vakansii/sistemnyj-administrator-33719139.html,NaN,NaN,NaN,NaN,superjob.ru
20,Преподаватель по курсу (Python для машинного обучения),https://russia.superjob.ru/vakansii/prepodavatel-po-kursu-32448389.html,ДПО Центр «Профессионал»,NaN,NaN,NaN,superjob.ru
21,Senior Python Developer,https://russia.superjob.ru/vakansii/senior-python-developer-33807534.html,Art2Hires,140000,160000,000,superjob.ru
22,Инженер сети передачи данных,https://russia.superjob.ru/vakansii/inzhener-seti-peredachi-dannyh-33838909.html,Группа Управляющих компаний,NaN,NaN,NaN,superjob.ru
23,Специалист операционного планирования и аналитики продаж,https://russia.superjob.ru/vakansii/specialist-operacionnogo-planirovaniya-i-analitiki-prodazh-33479327.html,Тинькофф Банк,NaN,NaN,NaN,superjob.ru
24,Старший программист,https://russia.superjob.ru/vakansii/starshij-programmist-33801514.html,Снежная Королева,NaN,180000,руб.,superjob.ru
25,Специалист по информационной безопасности,https://russia.superjob.ru/vakansii/specialist-po-informacionnoj-bezopasnosti-33577807.html,"""Концерн ""Калашников""",NaN,NaN,NaN,superjob.ru
26,Генетик-аналитик данных / Data scientist,https://russia.superjob.ru/vakansii/genetik-analitik-dannyh-33864238.html,ФГБУ Центр стратегического планирования медико-биологических рисков ФМБА РФ,NaN,NaN,NaN,superjob.ru
27,Инженер-программист,https://russia.superjob.ru/vakansii/inzhener-programmist-33092773.html,ВНИИФТРИ,40000,NaN,руб.,superjob.ru
28,Учитель робототехники,https://russia.superjob.ru/vakansii/uchitel-robototehniki-33835076.html,ГБОУ Школа № 1561,NaN,NaN,NaN,superjob.ru
29,Ведущий разработчик (back-end),https://russia.superjob.ru/vakansii/veduschij-razrabotchik-33809980.html,РОСГОССТРАХ Банк,NaN,NaN,NaN,superjob.ru
30,Главный инженер в департамент базовых платформенных компонентов,https://russia.superjob.ru/vakansii/glavnyj-inzhener-v-departament-bazovyh-platformennyh-komponentov-33537864.html,Сбербанк России,NaN,NaN,NaN,superjob.ru
31,Инженер в области машинного обучения,https://russia.superjob.ru/vakansii/inzhener-v-oblasti-mashinnogo-obucheniya-33556440.html,"Федеральное государственное научное учреждение ""Центр информационных технологий и систем органов исполнительной власти""",NaN,NaN,NaN,superjob.ru
32,Web-программист / Web-разработчик,https://russia.superjob.ru/vakansii/web-programmist-33861531.html,"ГОБУ ""Центр информационных технологий Мурманской области""",47000,47000,руб.,superjob.ru
33,Релиз-инженер,https://russia.superjob.ru/vakansii/reliz-inzhener-32902390.html,Э-Студио,30000,NaN,руб.,superjob.ru
34,Rust Developer,https://russia.superjob.ru/vakansii/rust-developer-33742484.html,TR Logic LLC,160000,164000,000,superjob.ru
