,name,link,company,salary_min,salary_max,currency,source
0,"C# разработчик (начинающий, junior)",https://korolev.hh.ru/vacancy/37022145?query=python, Mindbox,100000,140000,руб.,hh.ru
1,Data Scientist,https://korolev.hh.ru/vacancy/36719374?query=python, SoftSwiss,NaN,NaN,NaN,hh.ru
2,Machine Learning Engineer,https://korolev.hh.ru/vacancy/36718889?query=python, APALON,NaN,NaN,NaN,hh.ru
3,Rust Developer,https://korolev.hh.ru/vacancy/36357908?query=python, TR Logic LLC,2000,NaN,EUR,hh.ru
4,Старший специалист по тестированию ПО,https://korolev.hh.ru/vacancy/37036702?query=python, CBS Interactive,NaN,150000,руб.,hh.ru
5,Game Logic Developer (World of Tanks),https://korolev.hh.ru/vacancy/37029805?query=python," Wargaming, Minsk (Game Stream)",NaN,NaN,NaN,hh.ru
6,Программист-разработчик python (midle),https://korolev.hh.ru/vacancy/36955642?query=python, CATAPULTO.RU,NaN,180000,руб.,hh.ru
7,Учитель информатики,https://korolev.hh.ru/vacancy/37058960?query=python,ТОО PMC Intellect,NaN,200000,KZT,hh.ru
8,Back End Developer,https://korolev.hh.ru/vacancy/36950345?query=python, Company Formation Hong Kong,2000,4000,USD,hh.ru
9,Менеджер по управлению рисками,https://korolev.hh.ru/vacancy/35341930?query=python,ООО universal sugurta,NaN,NaN,NaN,hh.ru
10,Salesforce Developer Middle/Senior,https://korolev.hh.ru/vacancy/37034674?query=python,ООО Джет Би Ай,NaN,NaN,NaN,hh.ru
11,Инженер мониторинга,https://korolev.hh.ru/vacancy/36941775?query=python, Авито,NaN,NaN,NaN,hh.ru
12,Главный эксперт Oracle Hyperion (Санкт-Петербург),https://korolev.hh.ru/vacancy/37025988?query=python,АО Газстройпром,NaN,NaN,NaN,hh.ru
13,Системный администратор,https://korolev.hh.ru/vacancy/37061492?query=python,ООО Арго Медиа,,,,hh.ru
14,Data Engineer,https://korolev.hh.ru/vacancy/36875279?query=python,ООО СолбегСофт,NaN,NaN,NaN,hh.ru
15,Server Developer (World of Tanks Blitz),https://korolev.hh.ru/vacancy/37029892?query=python," Wargaming, Minsk (Game Stream)",NaN,NaN,NaN,hh.ru
16,Программист PHP,https://korolev.hh.ru/vacancy/36975765?query=python,ООО Арго Медиа,,,,hh.ru
17,Data Officer,https://korolev.hh.ru/vacancy/36880411?query=python,ОАО Банк БелВЭБ,NaN,NaN,NaN,hh.ru
18,Information Security Engineer,https://korolev.hh.ru/vacancy/36625602?query=python," Wargaming, Minsk (Game Stream)",NaN,NaN,NaN,hh.ru
19,Data Engineer / Information Retrieval team,https://korolev.hh.ru/vacancy/36998424?query=python,ООО IHS Global,NaN,NaN,NaN,hh.ru
20,Technical Director of SaaS product,https://korolev.hh.ru/vacancy/37011667?query=python, Bell Integrator,NaN,NaN,NaN,hh.ru
21,DevOps Engineer,https://korolev.hh.ru/vacancy/36618211?query=python, Syberry CIS,NaN,NaN,NaN,hh.ru
22,Инженер адаптивных алгоритмов робототехнических систем,https://korolev.hh.ru/vacancy/36958610?query=python,ООО Артель Удачная,100000,NaN,руб.,hh.ru
23,QA Automation Engineer,https://korolev.hh.ru/vacancy/36689982?query=python,УП Руна Системс,NaN,NaN,NaN,hh.ru
24,"Pre-Sales Engineer (Nexmo, the Vonage API Platform)",https://korolev.hh.ru/vacancy/36982786?query=python,ИП Земляной Павел Вячеславович,180000,NaN,руб.,hh.ru
25,Senior System Administrator,https://korolev.hh.ru/vacancy/36947311?query=python,УП Руна Системс,NaN,NaN,NaN,hh.ru
26,Разработчик Python / Django,https://korolev.hh.ru/vacancy/36876631?query=python,ООО Смартекс,150000,200000,руб.,hh.ru
27,Python разработчик,https://korolev.hh.ru/vacancy/37005696?query=python,ООО Константа,170000,220000,руб.,hh.ru
28,Программист Python,https://korolev.hh.ru/vacancy/36956256?query=python,ООО Телепорт,100000,130000,руб.,hh.ru
29,"Lead Python Developer (Tallinn, Estonia)",https://korolev.hh.ru/vacancy/36865337?query=python, Reinvent Baltics,3500,7000,EUR,hh.ru
30,Программист Python,https://korolev.hh.ru/vacancy/36680277?query=python,ООО Доверенная среда,160000,200000,руб.,hh.ru
31,Python разработчик,https://korolev.hh.ru/vacancy/37010575?query=python, Foxcom SIA,,,,hh.ru
32,Junior Python Developer,https://korolev.hh.ru/vacancy/36780697?query=python, First_Line,,,,hh.ru
33,"Разработчик, Python 3 + PyQt",https://korolev.hh.ru/vacancy/36891930?query=python, Spherical Origins GmbH & Co. KG,1500,3000,EUR,hh.ru
34,Python Data Scientist,https://korolev.hh.ru/vacancy/36916080?query=python, Web Interactive World,150000,NaN,руб.,hh.ru
35,Senior Python developer,https://korolev.hh.ru/vacancy/30005963?query=python, NetworkOptix,4000,NaN,USD,hh.ru
36,Программист C++/Python,https://korolev.hh.ru/vacancy/35909189?query=python,АО Интегрис,110000,NaN,руб.,hh.ru
37,Backend python/Django разработчик,https://korolev.hh.ru/vacancy/37005320?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000,руб.,hh.ru
38,Python-разработчик,https://korolev.hh.ru/vacancy/36445936?query=python, FunBox,100000,NaN,руб.,hh.ru
39,Python-разработчик,https://korolev.hh.ru/vacancy/36445891?query=python, FunBox,100000,NaN,руб.,hh.ru
40,Специалист Computer Vision (Data Scientist),https://korolev.hh.ru/vacancy/37008803?query=python,ООО Медицинские Скрининг Системы,120000,220000,руб.,hh.ru
41,Senior Data Scientist,https://korolev.hh.ru/vacancy/36769687?query=python, Gradient,300000,NaN,руб.,hh.ru
42,"Программист Python, удаленная работа",https://korolev.hh.ru/vacancy/37028259?query=python, Nextner,40000,NaN,руб.,hh.ru
43,Python Django разработчик с опытом,https://korolev.hh.ru/vacancy/36872204?query=python,ООО Памир,,,,hh.ru
44,QA Automation Engineer (Python),https://korolev.hh.ru/vacancy/35419959?query=python, NetworkOptix,3000,NaN,USD,hh.ru
45,Начинающий python backend разработчик,https://korolev.hh.ru/vacancy/37018429?query=python,ООО ВЕБИМ.РУ,,,,hh.ru
46,Программист Python (разговорный английский),https://korolev.hh.ru/vacancy/36541868?query=python,ООО Прикладные технологии,100000,150000,руб.,hh.ru
47,Senior Python Developer / Ведущий Python-разработчик,https://korolev.hh.ru/vacancy/36444270?query=python, ASD Technologies,200000,NaN,руб.,hh.ru
48,Python-разработчик,https://korolev.hh.ru/vacancy/36446006?query=python, FunBox,100000,NaN,руб.,hh.ru
49,C++ Senior Software Developer,https://korolev.hh.ru/vacancy/36806210?query=python,ООО Варити,250000,NaN,руб.,hh.ru
50,Senior Python разработчик,https://korolev.hh.ru/vacancy/36160021?query=python, Redsteep,150000,200000,руб.,hh.ru
51,Python developer,https://korolev.hh.ru/vacancy/36267290?query=python, B2Broker Санкт-Петербург,150000,200000,руб.,hh.ru
52,Python senior developer,https://korolev.hh.ru/vacancy/35846205?query=python, BestDoctor,180000,250000,руб.,hh.ru
53,Senior Python Developer / Ведущий Python-разработчик,https://korolev.hh.ru/vacancy/36444269?query=python, ASD Technologies,150000,NaN,руб.,hh.ru
54,Python middle developer,https://korolev.hh.ru/vacancy/36449432?query=python, BestDoctor,120000,160000,руб.,hh.ru
55,Backend python/Django разработчик,https://korolev.hh.ru/vacancy/37005320?query=python,ООО БОЛЬШАЯ ТРОЙКА,120000,200000,руб.,hh.ru
56,Python Django разработчик с опытом,https://korolev.hh.ru/vacancy/36872204?query=python,ООО Памир,,,,hh.ru
57,Python (Django) developer,https://korolev.hh.ru/vacancy/36756683?query=python, evrone.ru,NaN,180000,руб.,hh.ru
58,Junior/Middle Data Scientist,https://korolev.hh.ru/vacancy/36715819?query=python, Improvado,NaN,NaN,NaN,hh.ru
59,Senior Python Developer / Ведущий Python-разработчик,https://korolev.hh.ru/vacancy/36444271?query=python, ASD Technologies,150000,NaN,руб.,hh.ru
60,Python Lead Engineer,https://korolev.hh.ru/vacancy/36712601?query=python, Spark Equation,210000,260000,руб.,hh.ru
61,Программист Python,https://korolev.hh.ru/vacancy/36562718?query=python,ООО EventCartel,100000,150000,руб.,hh.ru
62,Разработчик Python (middle / senior) удалённо,https://korolev.hh.ru/vacancy/36769782?query=python,ООО Диджитал Пайн,,,,hh.ru
63,Python Data Scientist,https://korolev.hh.ru/vacancy/36916080?query=python, Web Interactive World,150000,NaN,руб.,hh.ru
64,"Веб-разработчик (Python, Django, AngularJS)",https://korolev.hh.ru/vacancy/36786810?query=python,ООО РУВЕНТС,,,,hh.ru
65,Team lead Python developer,https://korolev.hh.ru/vacancy/35846186?query=python, BestDoctor,180000,250000,руб.,hh.ru
66,"Разработчик, Python 3 + PyQt",https://korolev.hh.ru/vacancy/36891930?query=python, Spherical Origins GmbH & Co. KG,1500,3000,EUR,hh.ru
